timestamp_utc,gpu_util_percent,gpu_mem_used_mib,gpu_mem_util_percent
2026-03-17T15:26:52.054544+00:00,0.0,580.125,4.7210693359375
2026-03-17T15:26:54.055883+00:00,3.0,3015.3125,24.538675944010414
2026-03-17T15:26:56.057981+00:00,98.0,3267.3125,26.589457194010418
2026-03-17T15:26:58.059582+00:00,98.0,4699.75,38.24666341145833
2026-03-17T15:27:00.061392+00:00,99.0,4789.75,38.97908528645833
2026-03-17T15:27:02.062695+00:00,8.0,4789.75,38.97908528645833
2026-03-17T15:27:04.064124+00:00,25.0,4789.75,38.97908528645833
2026-03-17T15:27:06.065823+00:00,61.0,4789.75,38.97908528645833
2026-03-17T15:27:08.067287+00:00,99.0,4789.75,38.97908528645833
2026-03-17T15:27:10.068635+00:00,52.0,4789.75,38.97908528645833
2026-03-17T15:27:12.070534+00:00,54.0,4789.75,38.97908528645833
2026-03-17T15:27:14.071828+00:00,54.0,4789.75,38.97908528645833
2026-03-17T15:27:16.073602+00:00,52.0,4789.75,38.97908528645833
2026-03-17T15:27:18.075312+00:00,53.0,4789.75,38.97908528645833
2026-03-17T15:27:20.077166+00:00,49.0,4789.75,38.97908528645833
2026-03-17T15:27:22.078460+00:00,56.0,4789.75,38.97908528645833
2026-03-17T15:27:24.080026+00:00,47.0,4789.75,38.97908528645833
2026-03-17T15:27:26.081835+00:00,57.0,4789.75,38.97908528645833
2026-03-17T15:27:28.083229+00:00,46.0,4789.75,38.97908528645833
2026-03-17T15:27:30.084939+00:00,54.0,4789.75,38.97908528645833
2026-03-17T15:27:32.086284+00:00,41.0,4789.75,38.97908528645833
2026-03-17T15:27:34.088351+00:00,58.0,4789.75,38.97908528645833
2026-03-17T15:27:36.090122+00:00,43.0,4789.75,38.97908528645833
2026-03-17T15:27:38.091539+00:00,59.0,4789.75,38.97908528645833
2026-03-17T15:27:40.092823+00:00,56.0,4789.75,38.97908528645833
2026-03-17T15:27:42.094033+00:00,67.0,4789.75,38.97908528645833
2026-03-17T15:27:44.096336+00:00,52.0,4789.75,38.97908528645833
2026-03-17T15:27:46.098009+00:00,62.0,4789.75,38.97908528645833
2026-03-17T15:27:48.100090+00:00,44.0,4789.75,38.97908528645833
2026-03-17T15:27:50.101736+00:00,56.0,4789.75,38.97908528645833
2026-03-17T15:27:52.103647+00:00,41.0,4789.75,38.97908528645833
2026-03-17T15:27:54.105399+00:00,60.0,4789.75,38.97908528645833
2026-03-17T15:27:56.107245+00:00,43.0,4789.75,38.97908528645833
2026-03-17T15:27:58.108711+00:00,49.0,3267.3125,26.589457194010418
2026-03-17T15:28:00.110029+00:00,18.0,3267.3125,26.589457194010418
2026-03-17T15:28:02.111329+00:00,43.0,3911.75,31.833902994791668
2026-03-17T15:28:04.112657+00:00,24.0,3945.75,32.110595703125
2026-03-17T15:28:06.114400+00:00,44.0,3945.75,32.110595703125
2026-03-17T15:28:08.115949+00:00,42.0,3945.75,32.110595703125
2026-03-17T15:28:10.125254+00:00,35.0,3945.75,32.110595703125
2026-03-17T15:28:12.126823+00:00,52.0,3945.75,32.110595703125
2026-03-17T15:28:14.128112+00:00,39.0,3945.75,32.110595703125
2026-03-17T15:28:16.129326+00:00,50.0,3945.75,32.110595703125
2026-03-17T15:28:18.130575+00:00,38.0,3945.75,32.110595703125
2026-03-17T15:28:20.131799+00:00,53.0,3945.75,32.110595703125
2026-03-17T15:28:22.133467+00:00,33.0,3267.3125,26.589457194010418
2026-03-17T15:28:24.135097+00:00,46.0,3267.3125,26.589457194010418
2026-03-17T15:28:26.136572+00:00,47.0,3945.75,32.110595703125
2026-03-17T15:28:28.137937+00:00,39.0,3945.75,32.110595703125
2026-03-17T15:28:30.139535+00:00,47.0,3945.75,32.110595703125
2026-03-17T15:28:32.141036+00:00,42.0,3945.75,32.110595703125
2026-03-17T15:28:34.142386+00:00,42.0,3945.75,32.110595703125
2026-03-17T15:28:36.144163+00:00,51.0,3945.75,32.110595703125
2026-03-17T15:28:38.145564+00:00,35.0,3945.75,32.110595703125
2026-03-17T15:28:40.147690+00:00,51.0,3945.75,32.110595703125
2026-03-17T15:28:42.149459+00:00,36.0,3945.75,32.110595703125
2026-03-17T15:28:44.150642+00:00,51.0,3945.75,32.110595703125
2026-03-17T15:28:46.152790+00:00,34.0,3267.3125,26.589457194010418
2026-03-17T15:28:48.154210+00:00,44.0,3267.3125,26.589457194010418
2026-03-17T15:28:50.156654+00:00,35.0,3911.75,31.833902994791668
2026-03-17T15:28:52.158237+00:00,38.0,3945.75,32.110595703125
2026-03-17T15:28:54.159709+00:00,46.0,3945.75,32.110595703125
2026-03-17T15:28:56.161369+00:00,40.0,3945.75,32.110595703125
2026-03-17T15:28:58.163090+00:00,56.0,3945.75,32.110595703125
2026-03-17T15:29:00.164807+00:00,33.0,3945.75,32.110595703125
2026-03-17T15:29:02.166532+00:00,56.0,3945.75,32.110595703125
2026-03-17T15:29:04.167865+00:00,38.0,3945.75,32.110595703125
2026-03-17T15:29:06.169829+00:00,50.0,3945.75,32.110595703125
2026-03-17T15:29:08.171295+00:00,31.0,3946.5,32.11669921875
2026-03-17T15:29:10.172721+00:00,47.0,3268.0625,26.595560709635418
2026-03-17T15:29:12.174208+00:00,25.0,3268.0625,26.595560709635418
2026-03-17T15:29:14.176030+00:00,43.0,3268.0625,26.595560709635418
2026-03-17T15:29:16.177875+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:18.179281+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:20.180555+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:22.181988+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:24.183442+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:26.184864+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:28.186267+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:30.187714+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:32.189045+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:34.191329+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:36.193252+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:38.195132+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:40.196431+00:00,98.0,3268.25,26.597086588541668
2026-03-17T15:29:42.197842+00:00,98.0,3332.3125,27.118428548177082
2026-03-17T15:29:44.199278+00:00,98.0,3332.3125,27.118428548177082
2026-03-17T15:29:46.200679+00:00,98.0,3332.3125,27.118428548177082
2026-03-17T15:29:48.202119+00:00,98.0,3332.3125,27.118428548177082
2026-03-17T15:29:50.203503+00:00,98.0,3332.3125,27.118428548177082
2026-03-17T15:29:52.205372+00:00,98.0,3332.3125,27.118428548177082
2026-03-17T15:29:54.207695+00:00,73.0,3332.3125,27.118428548177082
2026-03-17T15:29:56.209086+00:00,0.0,645.125,5.250040690104166
