timestamp_utc,gpu_util_percent,gpu_mem_used_mib,gpu_mem_util_percent
2026-03-17T15:20:58.199997+00:00,0.0,580.875,4.7271728515625
2026-03-17T15:21:00.201263+00:00,4.0,788.0625,6.41326904296875
2026-03-17T15:21:02.202704+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:21:04.204138+00:00,99.0,4790.5,38.98518880208333
2026-03-17T15:21:06.205528+00:00,8.0,5454.9375,44.39239501953125
2026-03-17T15:21:08.209813+00:00,27.0,5468.9375,44.50632731119792
2026-03-17T15:21:10.211192+00:00,72.0,6147.375,50.0274658203125
2026-03-17T15:21:12.212762+00:00,100.0,6791.8125,55.27191162109375
2026-03-17T15:21:14.214199+00:00,100.0,6825.8125,55.548604329427086
2026-03-17T15:21:16.215554+00:00,100.0,6825.8125,55.548604329427086
2026-03-17T15:21:18.216897+00:00,100.0,6825.8125,55.548604329427086
2026-03-17T15:21:20.218189+00:00,100.0,6825.8125,55.548604329427086
2026-03-17T15:21:22.219615+00:00,100.0,6825.8125,55.548604329427086
2026-03-17T15:21:24.220993+00:00,100.0,6825.8125,55.548604329427086
2026-03-17T15:21:26.222621+00:00,100.0,6147.375,50.0274658203125
2026-03-17T15:21:28.224375+00:00,48.0,6147.375,50.0274658203125
2026-03-17T15:21:30.225723+00:00,55.0,5468.9375,44.50632731119792
2026-03-17T15:21:32.227314+00:00,56.0,5468.9375,44.50632731119792
2026-03-17T15:21:34.228879+00:00,52.0,4790.5,38.98518880208333
2026-03-17T15:21:36.230565+00:00,55.0,4790.5,38.98518880208333
2026-03-17T15:21:38.232222+00:00,49.0,4790.5,38.98518880208333
2026-03-17T15:21:40.233870+00:00,60.0,4790.5,38.98518880208333
2026-03-17T15:21:42.235203+00:00,45.0,4790.5,38.98518880208333
2026-03-17T15:21:44.262329+00:00,44.0,4790.5,38.98518880208333
2026-03-17T15:21:46.263925+00:00,64.0,4790.5,38.98518880208333
2026-03-17T15:21:48.266116+00:00,40.0,4790.5,38.98518880208333
2026-03-17T15:21:50.267769+00:00,60.0,4790.5,38.98518880208333
2026-03-17T15:21:52.269100+00:00,39.0,4790.5,38.98518880208333
2026-03-17T15:21:54.270440+00:00,58.0,4790.5,38.98518880208333
2026-03-17T15:21:56.272407+00:00,41.0,4790.5,38.98518880208333
2026-03-17T15:21:58.274161+00:00,57.0,4790.5,38.98518880208333
2026-03-17T15:22:00.275803+00:00,45.0,4790.5,38.98518880208333
2026-03-17T15:22:02.277109+00:00,52.0,4790.5,38.98518880208333
2026-03-17T15:22:04.278721+00:00,34.0,3268.0625,26.595560709635418
2026-03-17T15:22:06.279994+00:00,34.0,3268.0625,26.595560709635418
2026-03-17T15:22:08.281335+00:00,33.0,3268.0625,26.595560709635418
2026-03-17T15:22:10.282565+00:00,35.0,3268.0625,26.595560709635418
2026-03-17T15:22:12.283860+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:14.285079+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:16.286860+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:18.288492+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:20.289777+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:22.291064+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:24.292378+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:26.293988+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:28.295262+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:30.296438+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:32.297876+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:34.299118+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:36.300851+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:38.302562+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:40.303887+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:42.305244+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:44.306571+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:46.307957+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:48.309269+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:50.310568+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:52.311886+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:54.313213+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:56.315176+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:22:58.316790+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:00.318503+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:02.319831+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:04.321113+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:06.322363+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:08.323653+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:10.324959+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:12.326221+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:14.327907+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:16.329472+00:00,99.0,3268.0625,26.595560709635418
2026-03-17T15:23:18.330977+00:00,99.0,3268.0625,26.595560709635418
2026-03-17T15:23:20.332505+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:22.333805+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:24.335080+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:26.336498+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:28.338050+00:00,98.0,3268.0625,26.595560709635418
2026-03-17T15:23:30.339473+00:00,98.0,3268.0625,26.595560709635418
